old_url,new_url,id,date
/discussion.cgi?disc=199610;article=318105;title=PPC%20Posting%20Board,/archive/2018/08a#post-170514,170514,2018-08-07 17:10:00 UTC
/discussion.cgi?disc=199610;article=318106;title=PPC%20Posting%20Board,/archive/2018/08a#post-170515,170515,2018-08-07 17:11:00 UTC
/discussion.cgi?disc=199610;article=318094;title=PPC%20Posting%20Board,/archive/2018/08a#post-170516,170516,2018-08-07 12:06:00 UTC
/discussion.cgi?disc=199610;article=318098;title=PPC%20Posting%20Board,/archive/2018/08a#post-170517,170517,2018-08-07 14:26:00 UTC
/discussion.cgi?disc=199610;article=318097;title=PPC%20Posting%20Board,/archive/2018/08a#post-170518,170518,2018-08-07 13:49:00 UTC
/discussion.cgi?disc=199610;article=318100;title=PPC%20Posting%20Board,/archive/2018/08a#post-170519,170519,2018-08-07 16:17:00 UTC
/discussion.cgi?disc=199610;article=318103;title=PPC%20Posting%20Board,/archive/2018/08a#post-170520,170520,2018-08-07 16:34:00 UTC
/discussion.cgi?disc=199610;article=318050;title=PPC%20Posting%20Board,/archive/2018/08a#post-170521,170521,2018-08-06 08:31:00 UTC
/discussion.cgi?disc=199610;article=318085;title=PPC%20Posting%20Board,/archive/2018/08a#post-170522,170522,2018-08-06 23:18:00 UTC
/discussion.cgi?disc=199610;article=318086;title=PPC%20Posting%20Board,/archive/2018/08a#post-170523,170523,2018-08-06 23:18:00 UTC
/discussion.cgi?disc=199610;article=318057;title=PPC%20Posting%20Board,/archive/2018/08a#post-170524,170524,2018-08-06 13:00:00 UTC
/discussion.cgi?disc=199610;article=318046;title=PPC%20Posting%20Board,/archive/2018/08a#post-170525,170525,2018-08-06 03:26:00 UTC
/discussion.cgi?disc=199610;article=318054;title=PPC%20Posting%20Board,/archive/2018/08a#post-170526,170526,2018-08-06 11:26:00 UTC
/discussion.cgi?disc=199610;article=318059;title=PPC%20Posting%20Board,/archive/2018/08a#post-170527,170527,2018-08-06 13:02:00 UTC
/discussion.cgi?disc=199610;article=318073;title=PPC%20Posting%20Board,/archive/2018/08a#post-170528,170528,2018-08-06 16:55:00 UTC
/discussion.cgi?disc=199610;article=318049;title=PPC%20Posting%20Board,/archive/2018/08a#post-170529,170529,2018-08-06 07:15:00 UTC
