old_url,new_url,id,date
/posts/6536,/archive/2018/12c#post-182511,182511,2018-12-30 07:09:16 UTC
/posts/6540,/archive/2018/12c#post-182512,182512,2019-01-02 19:27:15 UTC
/posts/6537,/archive/2018/12c#post-182513,182513,2018-12-30 14:01:58 UTC
/posts/6539,/archive/2018/12c#post-182514,182514,2019-01-01 23:31:53 UTC
/posts/6541,/archive/2018/12c#post-182515,182515,2019-01-03 13:56:05 UTC
/posts/6575,/archive/2018/12c#post-182516,182516,2019-01-04 07:36:18 UTC
/posts/6577,/archive/2018/12c#post-182517,182517,2019-01-05 14:04:52 UTC
/posts/6578,/archive/2018/12c#post-182518,182518,2019-01-07 00:31:00 UTC
/posts/6580,/archive/2018/12c#post-182519,182519,2019-01-09 07:30:48 UTC
/posts/6581,/archive/2018/12c#post-182520,182520,2019-01-10 04:54:32 UTC
/posts/6332,/archive/2018/10c#post-182521,182521,2018-10-28 05:56:00 UTC
/posts/6386,/archive/2018/10c#post-182522,182522,2018-10-31 23:26:44 UTC
/posts/6461,/archive/2018/10c#post-182523,182523,2018-11-06 11:45:09 UTC
/posts/6367,/archive/2018/10c#post-182524,182524,2018-10-31 02:37:24 UTC
/posts/6369,/archive/2018/10c#post-182525,182525,2018-10-31 11:17:56 UTC
/posts/6375,/archive/2018/10c#post-182526,182526,2018-10-31 15:50:41 UTC
/posts/6377,/archive/2018/10c#post-182527,182527,2018-10-31 16:00:32 UTC
/posts/6389,/archive/2018/10c#post-182528,182528,2018-11-01 00:18:10 UTC
/posts/6392,/archive/2018/10c#post-182529,182529,2018-11-01 00:27:41 UTC
/posts/6395,/archive/2018/10c#post-182530,182530,2018-11-01 01:03:41 UTC
/posts/6396,/archive/2018/10c#post-182531,182531,2018-11-01 02:27:46 UTC
/posts/6399,/archive/2018/10c#post-182532,182532,2018-11-01 04:13:52 UTC
/posts/6400,/archive/2018/10c#post-182533,182533,2018-11-01 11:50:32 UTC
/posts/6404,/archive/2018/10c#post-182534,182534,2018-11-01 13:27:58 UTC
/posts/6406,/archive/2018/10c#post-182535,182535,2018-11-01 16:09:03 UTC
/posts/6410,/archive/2018/10c#post-182536,182536,2018-11-01 17:37:51 UTC
